"Day","Date","#1","#2","#3","#4","#5","#6","S1","S2"
"SAT","16/05/20","4","11","16","17","19","26","15","25"
"WED","13/05/20","9","25","28","31","33","38","27","35"
"MON","11/05/20","6","23","28","35","39","41","17","27"
"SAT","09/05/20","7","21","22","35","38","39","34","44"
"WED","06/05/20","3","5","14","26","27","29","32","44"
"MON","04/05/20","30","32","39","40","41","43","15","23"
"SAT","02/05/20","10","14","16","18","31","43","4","35"
"WED","29/04/20","4","7","17","20","38","39","33","44"
"MON","27/04/20","3","13","39","42","44","45","16","17"
"SAT","25/04/20","3","15","17","23","34","38","18","31"
"WED","22/04/20","4","11","15","19","24","43","8","12"
"MON","20/04/20","2","6","11","16","25","45","19","24"
"SAT","18/04/20","23","24","29","39","40","41","5","37"
"WED","15/04/20","12","14","19","39","41","44","8","27"
"MON","13/04/20","1","2","33","39","41","45","7","38"
"SAT","11/04/20","5","10","11","14","26","27","35","37"
"WED","08/04/20","7","8","10","29","35","41","14","26"
"MON","06/04/20","10","11","14","20","30","32","4","40"
"SAT","04/04/20","11","19","22","33","36","39","7","18"
"WED","01/04/20","11","27","34","37","40","45","15","22"
"MON","30/03/20","1","3","10","13","14","19","5","32"
"SAT","28/03/20","3","7","10","16","37","43","20","23"
"WED","25/03/20","1","6","11","18","40","42","10","41"
"MON","23/03/20","10","16","18","20","24","42","2","41"
"SAT","21/03/20","10","19","26","27","31","33","9","43"
"WED","18/03/20","14","15","18","19","22","41","10","20"
"MON","16/03/20","18","26","33","36","40","44","39","41"
"SAT","14/03/20","8","13","27","40","41","42","3","4"
"WED","11/03/20","2","5","18","32","42","45","13","17"
"MON","09/03/20","7","10","13","19","20","22","28","45"
"SAT","07/03/20","3","7","28","33","34","40","1","38"
"WED","04/03/20","6","8","12","29","39","40","10","37"
"MON","02/03/20","8","9","14","28","29","34","41","43"
"SAT","29/02/20","3","12","29","30","31","38","22","45"
"WED","26/02/20","12","16","20","26","31","45","24","43"
"MON","24/02/20","10","17","24","26","28","44","13","25"
"SAT","22/02/20","8","11","15","16","23","29","7","25"
"WED","19/02/20","2","7","18","21","36","43","9","25"
"MON","17/02/20","19","26","32","35","40","45","18","24"
"SAT","15/02/20","3","4","11","21","24","39","34","40"
"WED","12/02/20","5","11","14","37","41","45","13","39"
"MON","10/02/20","10","16","31","33","35","45","14","44"
"SAT","08/02/20","17","19","24","36","38","44","2","39"
"WED","05/02/20","1","25","31","39","44","45","10","36"
"MON","03/02/20","7","20","26","28","34","40","17","39"
"SAT","01/02/20","1","10","17","24","29","33","5","26"
"WED","29/01/20","5","10","11","24","26","30","2","43"
"MON","27/01/20","2","4","13","22","23","31","32","44"
"SAT","25/01/20","10","17","19","24","36","38","22","40"
"WED","22/01/20","2","4","13","23","31","38","27","45"
"MON","20/01/20","2","28","30","33","36","45","12","16"
"SAT","18/01/20","3","10","12","24","34","35","38","40"
"WED","15/01/20","4","6","19","25","30","32","9","33"
"MON","13/01/20","8","17","22","34","40","42","32","38"
"SAT","11/01/20","11","17","18","20","37","41","15","36"
"WED","08/01/20","9","11","13","22","24","42","1","26"
"MON","06/01/20","5","11","16","26","35","43","6","24"
"SAT","04/01/20","11","16","33","38","40","42","12","45"
"WED","01/01/20","20","23","24","25","37","43","18","33"
"MON","30/12/19","5","7","18","32","34","36","2","13"
"SAT","28/12/19","1","13","19","31","37","39","5","33"
"WED","25/12/19","2","23","26","28","31","40","22","30"
"MON","23/12/19","1","15","16","20","32","39","30","33"
"SAT","21/12/19","18","23","28","30","35","37","4","33"
"WED","18/12/19","5","10","13","14","36","38","15","20"
"MON","16/12/19","17","20","30","37","42","45","8","39"
"SAT","14/12/19","1","9","31","34","39","40","17","37"
"WED","11/12/19","3","4","8","22","28","41","12","43"
"MON","09/12/19","8","10","11","13","20","23","21","40"
"SAT","07/12/19","1","13","16","25","30","32","17","22"
"WED","04/12/19","2","12","16","35","38","40","24","29"
"MON","02/12/19","7","14","16","28","32","42","1","43"
"SAT","30/11/19","10","16","20","22","30","38","14","42"
"WED","27/11/19","5","10","17","38","40","45","7","44"
"MON","25/11/19","11","21","25","29","41","43","1","31"
"SAT","23/11/19","7","14","25","30","37","45","6","34"
"WED","20/11/19","8","15","29","34","35","36","1","24"
"MON","18/11/19","8","19","28","39","42","45","35","40"
"SAT","16/11/19","11","22","28","31","32","34","14","21"
"WED","13/11/19","18","19","38","41","43","44","14","42"
"MON","11/11/19","5","17","18","21","41","43","8","27"
"SAT","09/11/19","1","10","25","27","28","36","14","18"
"WED","06/11/19","4","12","19","26","39","40","14","37"
"MON","04/11/19","5","6","10","14","33","37","20","22"
"SAT","02/11/19","1","2","10","12","21","42","13","40"
"WED","30/10/19","7","15","25","33","43","44","6","34"
"MON","28/10/19","18","25","30","38","43","45","12","37"
"SAT","26/10/19","2","7","28","29","31","45","6","38"
"WED","23/10/19","2","8","14","20","22","24","9","41"
"MON","21/10/19","2","9","17","19","22","36","8","26"
"SAT","19/10/19","18","21","26","39","41","43","33","35"
"WED","16/10/19","8","10","22","31","32","43","4","27"
"MON","14/10/19","19","35","38","42","43","45","20","25"
"SAT","12/10/19","6","8","16","17","27","33","26","28"
"WED","09/10/19","11","20","22","25","30","32","12","31"
"MON","07/10/19","2","7","8","31","35","44","34","36"
"SAT","05/10/19","4","12","20","33","34","36","10","23"
"WED","02/10/19","3","4","9","23","33","41","29","34"
"MON","30/09/19","6","12","19","20","28","39","21","25"
"SAT","28/09/19","4","11","18","20","22","41","12","44"
"WED","25/09/19","2","10","23","25","27","44","17","38"
"MON","23/09/19","2","11","13","17","30","31","10","44"
"SAT","21/09/19","14","29","32","33","40","43","12","24"
"WED","18/09/19","19","27","34","37","38","44","7","35"
"MON","16/09/19","2","8","9","15","22","26","33","41"
"SAT","14/09/19","7","20","27","38","39","41","9","43"
"WED","11/09/19","1","3","11","33","35","41","13","23"
"MON","09/09/19","11","18","26","34","40","42","14","25"
"SAT","07/09/19","1","8","10","14","23","36","7","15"
"WED","04/09/19","3","6","10","15","38","42","30","37"
"MON","02/09/19","6","22","23","32","43","45","12","30"
"SAT","31/08/19","7","14","15","17","36","41","20","24"
"WED","28/08/19","2","13","14","17","20","36","28","33"
"MON","26/08/19","12","24","28","32","33","45","9","11"
"SAT","24/08/19","4","9","10","11","32","33","23","29"
"WED","21/08/19","31","35","36","40","44","45","18","42"
"MON","19/08/19","3","6","10","13","24","32","34","37"
"SAT","17/08/19","6","19","23","24","28","35","29","38"
"WED","14/08/19","2","17","23","29","38","44","11","40"
"MON","12/08/19","3","8","24","34","40","44","36","43"
"SAT","10/08/19","1","6","9","37","38","39","11","45"
"WED","07/08/19","7","15","19","36","40","45","2","41"
"MON","05/08/19","1","6","7","14","18","21","9","19"
"SAT","03/08/19","3","5","28","32","38","44","25","27"
"WED","31/07/19","10","16","19","29","34","42","22","44"
"MON","29/07/19","3","4","6","11","26","29","40","41"
"SAT","27/07/19","11","13","23","27","35","38","5","8"
"WED","24/07/19","15","20","22","23","26","27","6","35"
"MON","22/07/19","3","4","17","25","27","38","18","29"
"SAT","20/07/19","2","8","12","18","30","42","14","39"
"WED","17/07/19","7","15","24","27","40","45","10","22"
"MON","15/07/19","6","11","21","24","35","40","14","44"
"SAT","13/07/19","5","16","18","22","36","41","1","7"
"WED","10/07/19","7","27","28","30","36","45","2","31"
"MON","08/07/19","1","16","27","33","39","44","10","36"
"SAT","06/07/19","15","18","23","30","41","44","1","5"
"WED","03/07/19","3","19","35","40","42","45","11","13"
"MON","01/07/19","13","14","15","19","27","44","36","37"
"SAT","29/06/19","5","14","21","33","35","42","7","40"
"WED","26/06/19","5","7","19","25","35","40","4","15"
"MON","24/06/19","9","22","23","32","36","40","33","37"
"SAT","22/06/19","5","10","11","12","29","41","13","21"
"WED","19/06/19","3","7","8","10","16","39","6","18"
"MON","17/06/19","2","18","21","22","34","35","11","19"
"SAT","15/06/19","8","18","24","39","41","42","5","16"
"WED","12/06/19","10","13","26","31","34","38","7","37"
"MON","10/06/19","2","3","5","7","15","19","20","23"
"SAT","08/06/19","1","22","24","36","39","42","12","41"
"WED","05/06/19","1","4","30","34","40","42","12","39"
"MON","03/06/19","10","12","14","16","33","41","15","40"
"SAT","01/06/19","6","9","20","25","27","31","2","36"
"WED","29/05/19","19","21","24","26","27","30","40","45"
"MON","27/05/19","11","18","25","29","35","40","27","38"
"SAT","25/05/19","1","11","18","29","35","44","28","38"
"WED","22/05/19","4","7","14","30","34","42","20","32"
"MON","20/05/19","1","2","5","12","26","36","34","39"
"SAT","18/05/19","2","6","8","36","39","45","5","13"
"WED","15/05/19","1","9","34","40","41","42","6","27"
"MON","13/05/19","3","6","13","36","37","43","9","24"
"SAT","11/05/19","17","27","28","32","34","44","8","22"
"WED","08/05/19","10","16","22","26","35","36","27","32"
"MON","06/05/19","1","20","21","30","36","41","8","32"
"SAT","04/05/19","7","8","23","24","27","33","15","41"
"WED","01/05/19","8","13","28","34","35","36","4","21"
"MON","29/04/19","2","6","10","14","33","42","11","30"
"SAT","27/04/19","1","16","21","26","39","41","2","6"
"WED","24/04/19","6","11","21","28","35","44","17","27"
"MON","22/04/19","2","6","12","18","32","44","20","30"
"SAT","20/04/19","9","14","16","18","20","36","7","19"
"WED","17/04/19","8","14","27","32","35","45","6","24"
"MON","15/04/19","1","13","24","38","41","42","18","30"
"SAT","13/04/19","16","18","19","21","22","25","4","41"
"WED","10/04/19","11","22","28","34","36","37","2","29"
"MON","08/04/19","3","4","17","22","25","30","16","45"
"SAT","06/04/19","4","8","10","12","38","39","6","13"
"WED","03/04/19","4","5","7","10","19","45","33","43"
"MON","01/04/19","1","7","9","10","30","32","28","41"
"SAT","30/03/19","5","8","26","27","31","33","11","22"
"WED","27/03/19","5","6","14","18","20","25","35","41"
"MON","25/03/19","4","13","23","28","37","42","12","19"
"SAT","23/03/19","9","29","32","33","37","39","11","27"
"WED","20/03/19","1","23","27","33","39","45","30","41"
"MON","18/03/19","10","25","28","30","36","42","5","6"
"SAT","16/03/19","1","8","12","15","31","42","32","36"
"WED","13/03/19","10","11","14","33","44","45","9","35"
"MON","11/03/19","1","5","8","20","40","44","4","39"
"SAT","09/03/19","16","17","21","27","29","43","37","40"
"WED","06/03/19","1","22","28","34","40","43","19","23"
"MON","04/03/19","14","19","33","37","39","43","32","35"
"SAT","02/03/19","5","10","38","39","40","43","4","24"
"WED","27/02/19","10","14","22","39","40","42","26","44"
"MON","25/02/19","5","14","18","23","25","40","3","19"
"SAT","23/02/19","13","19","20","21","25","37","27","33"
"WED","20/02/19","1","13","27","29","33","38","14","15"
"MON","18/02/19","9","11","17","18","23","30","16","35"
"SAT","16/02/19","18","19","26","27","38","43","15","22"
"WED","13/02/19","2","12","22","25","29","38","6","39"
"MON","11/02/19","1","14","21","33","41","44","26","37"
"SAT","09/02/19","9","11","13","16","17","21","33","38"
"WED","06/02/19","7","15","18","25","27","41","17","28"
"MON","04/02/19","6","22","26","31","38","42","8","23"
"SAT","02/02/19","1","5","12","21","24","45","2","15"
"WED","30/01/19","11","28","37","40","41","42","18","29"
"MON","28/01/19","1","6","12","14","41","42","13","23"
"SAT","26/01/19","8","18","19","36","38","42","4","39"
"WED","23/01/19","3","6","9","16","21","36","34","41"
"MON","21/01/19","2","17","19","24","32","43","37","40"
"SAT","19/01/19","8","10","11","15","26","45","28","37"
"WED","16/01/19","14","19","28","35","42","44","32","39"
"MON","14/01/19","8","11","14","18","37","43","6","9"
"SAT","12/01/19","5","11","15","23","35","45","17","43"
"WED","09/01/19","1","5","31","34","42","45","13","20"
"MON","07/01/19","8","9","28","39","42","43","2","45"
"SAT","05/01/19","3","18","20","24","26","34","32","42"
"WED","02/01/19","1","6","13","22","33","41","12","37"
"MON","31/12/18","16","24","25","32","36","39","10","20"
"SAT","29/12/18","2","9","17","30","33","39","22","41"
"WED","26/12/18","2","5","6","11","19","20","25","39"
"MON","24/12/18","7","14","16","19","33","39","17","23"
"SAT","22/12/18","5","9","14","29","41","43","15","37"
"WED","19/12/18","2","6","15","16","17","19","28","42"
"MON","17/12/18","18","31","33","36","37","40","9","25"
"SAT","15/12/18","23","28","32","33","35","39","5","42"
"WED","12/12/18","2","5","14","29","32","44","8","28"
"MON","10/12/18","3","14","28","33","35","36","1","15"
"SAT","08/12/18","2","6","23","25","26","43","7","9"
"WED","05/12/18","6","12","17","19","24","45","3","23"
"MON","03/12/18","7","22","36","40","42","44","31","37"
"SAT","01/12/18","5","24","25","27","31","38","18","20"
"WED","28/11/18","2","23","30","38","39","44","1","24"
"MON","26/11/18","1","2","3","16","30","45","10","21"
"SAT","24/11/18","7","10","20","24","29","37","32","42"
"WED","21/11/18","1","6","14","18","19","20","24","32"
"MON","19/11/18","8","15","16","19","23","24","21","27"
"SAT","17/11/18","6","18","19","26","30","31","16","25"
"WED","14/11/18","4","14","15","22","30","37","5","41"
"MON","12/11/18","4","14","16","27","30","38","29","37"
"SAT","10/11/18","1","21","22","23","38","44","17","20"
"WED","07/11/18","16","20","30","31","32","40","28","39"
"MON","05/11/18","8","28","29","33","40","42","12","18"
"SAT","03/11/18","3","5","12","14","35","36","15","42"
"WED","31/10/18","2","3","8","12","31","39","33","43"
"MON","29/10/18","2","27","37","41","43","45","16","33"
"SAT","27/10/18","9","13","16","17","32","37","6","14"
"WED","24/10/18","5","6","11","12","22","24","27","28"
"MON","22/10/18","1","6","9","19","21","34","8","12"
"SAT","20/10/18","5","14","15","38","42","45","8","22"
"WED","17/10/18","5","13","31","38","42","45","18","40"
"MON","15/10/18","3","4","12","23","36","43","14","31"
"SAT","13/10/18","3","6","10","34","37","40","15","18"
"WED","10/10/18","5","10","15","19","40","43","34","42"
"MON","08/10/18","9","11","13","19","23","35","37","41"
"SAT","06/10/18","1","2","7","22","34","40","15","26"
"WED","03/10/18","1","6","8","17","34","45","15","24"
"MON","01/10/18","17","19","25","36","39","43","12","34"
"SAT","29/09/18","2","9","10","13","16","25","17","19"
"WED","26/09/18","5","8","11","14","39","45","26","36"
"MON","24/09/18","12","19","26","29","30","45","4","32"
"SAT","22/09/18","9","21","26","29","32","44","2","28"
"WED","19/09/18","7","20","23","30","32","43","4","35"
"MON","17/09/18","2","7","16","36","37","40","11","26"
"SAT","15/09/18","1","3","7","15","44","45","26","34"
"WED","12/09/18","9","10","15","31","35","40","14","41"
"MON","10/09/18","20","22","25","34","39","45","5","35"
"SAT","08/09/18","19","22","24","25","42","43","4","14"
"WED","05/09/18","3","8","13","38","40","45","20","30"
"MON","03/09/18","5","6","11","17","28","33","24","37"
"SAT","01/09/18","5","10","14","16","36","43","18","19"
"WED","29/08/18","17","28","37","40","41","42","30","38"
"MON","27/08/18","12","16","17","28","30","33","3","24"
"SAT","25/08/18","5","15","18","29","31","35","9","36"
"WED","22/08/18","2","5","34","39","41","44","8","12"
"MON","20/08/18","1","2","10","17","43","44","19","30"
"SAT","18/08/18","6","17","19","26","37","38","2","10"
"WED","15/08/18","27","30","37","40","42","43","11","26"
"MON","13/08/18","15","24","32","34","40","42","13","16"
"SAT","11/08/18","1","8","15","20","23","44","11","18"
"WED","08/08/18","2","3","7","11","22","45","10","42"
"MON","06/08/18","2","16","21","31","42","44","11","33"
"SAT","04/08/18","12","14","24","25","35","38","36","39"
"WED","01/08/18","17","19","25","35","38","40","8","41"
"MON","30/07/18","8","11","26","29","35","40","2","7"
"SAT","28/07/18","21","27","29","31","37","40","6","11"
"WED","25/07/18","1","23","26","27","31","39","16","41"
"MON","23/07/18","3","11","26","32","34","37","27","38"
"SAT","21/07/18","2","4","14","15","16","24","18","33"
"WED","18/07/18","9","13","21","23","28","45","19","27"
"MON","16/07/18","14","16","35","37","40","42","3","15"
"SAT","14/07/18","6","11","12","32","40","45","10","20"
"WED","11/07/18","1","13","23","27","34","40","9","41"
"MON","09/07/18","3","6","10","11","13","37","32","44"
"SAT","07/07/18","1","6","18","23","29","43","3","35"
"WED","04/07/18","4","11","12","14","30","44","13","21"
"MON","02/07/18","2","5","21","22","30","33","23","26"
